iteration,train_loss,consensus_error,comm_volume,test_acc,test_acc_min,test_acc_max,test_comm_volume
207,0.0,0.06372873485088348,1229684440,51.764999999999986,29.2,64.5,1363005500.0
208,0.0,0.07606261223554611,1236088120,51.764999999999986,29.2,64.5,1363005500.0
209,0.0,0.058209966868162155,1242491800,51.764999999999986,29.2,64.5,1363005500.0
210,0.0,0.044220324605703354,1248183960,51.764999999999986,29.2,64.5,1363005500.0
211,0.0,0.03303094580769539,1253876120,51.764999999999986,29.2,64.5,1363005500.0
212,0.0,0.04085509106516838,1259568280,51.764999999999986,29.2,64.5,1363005500.0
213,0.0,0.03585181385278702,1265260440,51.764999999999986,29.2,64.5,1363005500.0
214,0.0,0.045476578176021576,1270952600,51.764999999999986,29.2,64.5,1363005500.0
215,0.0,0.030634790658950806,1277356280,51.764999999999986,29.2,64.5,1363005500.0
216,0.0,0.04429621621966362,1283759960,51.764999999999986,29.2,64.5,1363005500.0
217,0.0,0.03688148036599159,1290163640,51.764999999999986,29.2,64.5,1363005500.0
218,0.0,0.048402171581983566,1296567320,51.764999999999986,29.2,64.5,1363005500.0
219,0.0,0.04153700917959213,1302971000,51.764999999999986,29.2,64.5,1363005500.0
220,0.0,0.05341459438204765,1308841040,51.764999999999986,29.2,64.5,1363005500.0
221,0.0,0.052649665623903275,1314711080,51.764999999999986,29.2,64.5,1363005500.0
222,0.0,0.05311226844787598,1320581120,51.764999999999986,29.2,64.5,1363005500.0
223,0.0,0.042639926075935364,1326451160,51.764999999999986,29.2,64.5,1363005500.0
224,0.0,0.06521624326705933,1332321200,51.764999999999986,29.2,64.5,1363005500.0
225,0.0,0.0438028909265995,1338458060,51.764999999999986,29.2,64.5,1363005500.0
226,0.0,0.08127333223819733,1344594920,51.764999999999986,29.2,64.5,1363005500.0
227,0.0,0.06504260748624802,1350731780,51.764999999999986,29.2,64.5,1363005500.0
228,0.0,0.09552560746669769,1356868640,51.764999999999986,29.2,64.5,1363005500.0
229,0.0,0.06066500023007393,1363005500,63.65999999999999,34.599999999999994,70.6,1510823780.0
230,0.0,0.0356878899037838,1369498120,63.65999999999999,34.599999999999994,70.6,1510823780.0
231,0.0,0.03694181144237518,1375990740,63.65999999999999,34.599999999999994,70.6,1510823780.0
232,0.0,0.038242727518081665,1382483360,63.65999999999999,34.599999999999994,70.6,1510823780.0
233,0.0,0.034501876682043076,1388975980,63.65999999999999,34.599999999999994,70.6,1510823780.0
234,0.0,0.04347797855734825,1395468600,63.65999999999999,34.599999999999994,70.6,1510823780.0
235,0.0,0.032150860875844955,1401427580,63.65999999999999,34.599999999999994,70.6,1510823780.0
236,0.0,0.03332122042775154,1407386560,63.65999999999999,34.599999999999994,70.6,1510823780.0
237,0.0,0.04078083485364914,1413345540,63.65999999999999,34.599999999999994,70.6,1510823780.0
238,0.0,0.058762069791555405,1419304520,63.65999999999999,34.599999999999994,70.6,1510823780.0
239,0.0,0.07575204968452454,1425263500,63.65999999999999,34.599999999999994,70.6,1510823780.0
240,0.0,0.05319754406809807,1432022940,63.65999999999999,34.599999999999994,70.6,1510823780.0
241,0.0,0.03871140256524086,1438782380,63.65999999999999,34.599999999999994,70.6,1510823780.0
242,0.0,0.05453082546591759,1445541820,63.65999999999999,34.599999999999994,70.6,1510823780.0
243,0.0,0.03574897348880768,1452301260,63.65999999999999,34.599999999999994,70.6,1510823780.0
244,0.0,0.05100805684924126,1459060700,63.65999999999999,34.599999999999994,70.6,1510823780.0
245,0.0,0.035258010029792786,1465731200,63.65999999999999,34.599999999999994,70.6,1510823780.0
246,0.0,0.04964233934879303,1472401700,63.65999999999999,34.599999999999994,70.6,1510823780.0
247,0.0,0.03631426766514778,1479072200,63.65999999999999,34.599999999999994,70.6,1510823780.0
248,0.0,0.04008999094367027,1485742700,63.65999999999999,34.599999999999994,70.6,1510823780.0
249,0.0,0.0398966409265995,1492413200,63.65999999999999,34.599999999999994,70.6,1510823780.0
250,0.0,0.029503701254725456,1498550060,63.65999999999999,34.599999999999994,70.6,1510823780.0
251,0.0,0.026140740141272545,1504686920,63.65999999999999,34.599999999999994,70.6,1510823780.0
252,0.0,0.061258502304553986,1510823780,73.045,67.80000000000001,77.7,1655173400.0
253,0.0,0.034312501549720764,1516960640,73.045,67.80000000000001,77.7,1655173400.0
254,0.0,0.04208528622984886,1523097500,73.045,67.80000000000001,77.7,1655173400.0
255,0.0,0.03086143545806408,1529945880,73.045,67.80000000000001,77.7,1655173400.0
256,0.0,0.04395264387130737,1536794260,73.045,67.80000000000001,77.7,1655173400.0
257,0.0,0.03906082734465599,1543642640,73.045,67.80000000000001,77.7,1655173400.0
258,0.0,0.03763106092810631,1550491020,73.045,67.80000000000001,77.7,1655173400.0
259,0.0,0.03987690433859825,1557339400,73.045,67.80000000000001,77.7,1655173400.0
260,0.0,0.023799864575266838,1563565200,73.045,67.80000000000001,77.7,1655173400.0
261,0.0,0.029970748350024223,1569791000,73.045,67.80000000000001,77.7,1655173400.0
262,0.0,0.03351649269461632,1576016800,73.045,67.80000000000001,77.7,1655173400.0
263,0.0,0.04293345287442207,1582242600,73.045,67.80000000000001,77.7,1655173400.0
264,0.0,0.03762798383831978,1588468400,73.045,67.80000000000001,77.7,1655173400.0
265,0.0,0.03295091539621353,1594694200,73.045,67.80000000000001,77.7,1655173400.0
266,0.0,0.04415527358651161,1600920000,73.045,67.80000000000001,77.7,1655173400.0
267,0.0,0.04369316250085831,1607145800,73.045,67.80000000000001,77.7,1655173400.0
268,0.0,0.05600857734680176,1613371600,73.045,67.80000000000001,77.7,1655173400.0
269,0.0,0.046520769596099854,1619597400,73.045,67.80000000000001,77.7,1655173400.0
270,0.0,0.025006085634231567,1625467440,73.045,67.80000000000001,77.7,1655173400.0
271,0.0,0.037377532571554184,1631337480,73.045,67.80000000000001,77.7,1655173400.0
272,0.0,0.0488932840526104,1637207520,73.045,67.80000000000001,77.7,1655173400.0
273,0.0,0.031812794506549835,1643077560,73.045,67.80000000000001,77.7,1655173400.0
274,0.0,0.027661001309752464,1648947600,73.045,67.80000000000001,77.7,1655173400.0
275,0.0,0.01830410026013851,1655173400,72.35999999999999,50.3,80.80000000000001,1790629020.0
276,0.0,0.018678419291973114,1661399200,72.35999999999999,50.3,80.80000000000001,1790629020.0
277,0.0,0.02170407399535179,1667625000,72.35999999999999,50.3,80.80000000000001,1790629020.0
278,0.0,0.0418543815612793,1673850800,72.35999999999999,50.3,80.80000000000001,1790629020.0
279,0.0,0.028043467551469803,1680076600,72.35999999999999,50.3,80.80000000000001,1790629020.0
280,0.0,0.03336207941174507,1685768760,72.35999999999999,50.3,80.80000000000001,1790629020.0
281,0.0,0.05730035528540611,1691460920,72.35999999999999,50.3,80.80000000000001,1790629020.0
282,0.0,0.04194560647010803,1697153080,72.35999999999999,50.3,80.80000000000001,1790629020.0
283,0.0,0.04803869128227234,1702845240,72.35999999999999,50.3,80.80000000000001,1790629020.0
284,0.0,0.05822819471359253,1708537400,72.35999999999999,50.3,80.80000000000001,1790629020.0
285,0.0,0.03835230693221092,1714318500,72.35999999999999,50.3,80.80000000000001,1790629020.0
286,0.0,0.058734919875860214,1720099600,72.35999999999999,50.3,80.80000000000001,1790629020.0
287,0.0,0.03541691228747368,1725880700,72.35999999999999,50.3,80.80000000000001,1790629020.0
288,0.0,0.07138090580701828,1731661800,72.35999999999999,50.3,80.80000000000001,1790629020.0
289,0.0,0.039435405284166336,1737442900,72.35999999999999,50.3,80.80000000000001,1790629020.0
290,0.0,0.044030945748090744,1743312940,72.35999999999999,50.3,80.80000000000001,1790629020.0
291,0.0,0.09178107976913452,1749182980,72.35999999999999,50.3,80.80000000000001,1790629020.0
292,0.0,0.06269693374633789,1755053020,72.35999999999999,50.3,80.80000000000001,1790629020.0
293,0.0,0.04774368554353714,1760923060,72.35999999999999,50.3,80.80000000000001,1790629020.0
294,0.0,0.04955268278717995,1766793100,72.35999999999999,50.3,80.80000000000001,1790629020.0
295,0.0,0.030732840299606323,1772752080,72.35999999999999,50.3,80.80000000000001,1790629020.0
296,0.0,0.030611146241426468,1778711060,72.35999999999999,50.3,80.80000000000001,1790629020.0
297,0.0,0.03422960266470909,1784670040,72.35999999999999,50.3,80.80000000000001,1790629020.0
298,0.0,0.057214509695768356,1790629020,82.525,77.10000000000001,85.1,1936401680.0
299,0.0,0.05360405519604683,1796588000,82.525,77.10000000000001,85.1,1936401680.0
300,0.0,0.028258491307497025,1802991680,82.525,77.10000000000001,85.1,1936401680.0
301,0.0,0.06545684486627579,1809395360,82.525,77.10000000000001,85.1,1936401680.0
302,0.0,0.0370207242667675,1815799040,82.525,77.10000000000001,85.1,1936401680.0
303,0.0,0.028661880642175674,1822202720,82.525,77.10000000000001,85.1,1936401680.0
304,0.0,0.035198673605918884,1828606400,82.525,77.10000000000001,85.1,1936401680.0
305,0.0,0.01925269328057766,1835276900,82.525,77.10000000000001,85.1,1936401680.0
306,0.0,0.01952945999801159,1841947400,82.525,77.10000000000001,85.1,1936401680.0
307,0.0,0.020178141072392464,1848617900,82.525,77.10000000000001,85.1,1936401680.0
308,0.0,0.021116286516189575,1855288400,82.525,77.10000000000001,85.1,1936401680.0
309,0.0,0.021884391084313393,1861958900,82.525,77.10000000000001,85.1,1936401680.0
310,0.0,0.017224693670868874,1868006820,82.525,77.10000000000001,85.1,1936401680.0
311,0.0,0.018989579752087593,1874054740,82.525,77.10000000000001,85.1,1936401680.0
312,0.0,0.023131180554628372,1880102660,82.525,77.10000000000001,85.1,1936401680.0
313,0.0,0.03256004676222801,1886150580,82.525,77.10000000000001,85.1,1936401680.0
314,0.0,0.049656305462121964,1892198500,82.525,77.10000000000001,85.1,1936401680.0
315,0.0,0.034629128873348236,1898513240,82.525,77.10000000000001,85.1,1936401680.0
316,0.0,0.02531437575817108,1904827980,82.525,77.10000000000001,85.1,1936401680.0
317,0.0,0.01824665628373623,1911142720,82.525,77.10000000000001,85.1,1936401680.0
318,0.0,0.01782822608947754,1917457460,82.525,77.10000000000001,85.1,1936401680.0
319,0.0,0.017808755859732628,1923772200,82.525,77.10000000000001,85.1,1936401680.0
320,0.0,0.014054370112717152,1930086940,82.525,77.10000000000001,85.1,1936401680.0
